,_id,Customer ID,username,Customer Names,Email IDs,Country,adults,children,Total People,Reserved Room_Type,check_in,check_out,Meals,reservation_status,reservation_status_date,Price
1,2,3,ghart,Lori Williams,lori.williams@example.com,Portugal,2,0,2,Standard Room,2015-07-01,2015-07-08,Bed & Breakfast,Canceled,2015-07-01,150
3,4,5,jerryzuniga,Christian Goodwin,christian.goodwin@example.com,Portugal,2,0,2,Standard Room,2015-07-01,2015-07-08,Bed & Breakfast,Canceled,2015-06-23,150
4,5,6,matthew64,Gloria Miller,gloria.miller@example.com,Portugal,2,0,2,Standard Room,2015-07-02,2015-07-09,Bed & Breakfast,Canceled,2015-04-02,150
5,6,7,ryanlarry,Mr. Andrew Soto,mr..andrew.soto@example.com,Portugal,2,0,2,Standard Room,2015-07-02,2015-07-09,Bed & Breakfast,Canceled,2015-06-25,150
8,9,10,lisakline,Mr. William Rodriguez,mr..william.rodriguez@example.com,Portugal,2,0,2,Standard Room,2015-07-02,2015-07-09,Bed & Breakfast,No-Show,2015-07-02,150
9,10,11,margaretshaw,Patrick Parker,patrick.parker@example.com,Portugal,2,0,2,Standard Room,2015-07-02,2015-07-09,Bed & Breakfast,No-Show,2015-07-02,150
10,11,12,laurenmartin,Roger Calderon,roger.calderon@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
11,12,13,robertyu,Blake Johnson,blake.johnson@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
12,13,14,james99,Joshua Ross,joshua.ross@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
14,15,16,henrykelley,Rachel Gordon,rachel.gordon@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Canceled,2015-06-29,190
17,18,19,valerie54,Sara Mitchell,sara.mitchell@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
18,19,20,lawrencemichele,Mrs. Cassandra Juarez,mrs..cassandra.juarez@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
20,21,22,lambertdouglas,Dorothy Morales MD,dorothy.morales.md@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Canceled,2015-06-16,190
21,22,23,cristiankent,Anthony Jones,anthony.jones@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Bed & Breakfast,Canceled,2015-06-30,150
22,23,24,leejonathan,Michael White,michael.white@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
23,24,25,harrisoscar,Lisa Johnson,lisa.johnson@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Half Board,Check-Out,2015-07-05,190
24,25,26,michael87,Ian Clark,ian.clark@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,Bed & Breakfast,Canceled,2015-04-17,150
25,26,27,joseph57,Richard Gray,richard.gray@example.com,Portugal,2,0,2,Standard Room,2015-07-03,2015-07-10,No Meal,Check-Out,2015-07-10,100
28,29,30,hopkinskatherine,Robert Gomez,robert.gomez@example.com,Portugal,2,0,2,Standard Room,2015-07-04,2015-07-11,Bed & Breakfast,Canceled,2015-06-15,150
30,31,32,sandovalwilliam,Taylor Morales,taylor.morales@example.com,Portugal,2,0,2,Standard Room,2015-07-05,2015-07-12,No Meal,Canceled,2015-06-30,100
31,32,33,charlesscott,Douglas Valdez,douglas.valdez@example.com,Portugal,2,0,2,Standard Room,2015-07-05,2015-07-12,Bed & Breakfast,Canceled,2015-06-20,150
32,33,34,woodwarddestiny,Nancy Smith,nancy.smith@example.com,Portugal,2,0,2,Standard Room,2015-07-05,2015-07-12,Bed & Breakfast,Canceled,2015-07-03,150
33,34,35,wooddawn,Craig Flowers,craig.flowers@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-06-20,150
36,37,38,danielle27,Sheila Simpson,sheila.simpson@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Half Board,Canceled,2015-06-15,190
37,38,39,kimberlynavarro,Lisa Paul,lisa.paul@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-05-22,150
38,39,40,curtiskevin,Sarah James,sarah.james@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-06-25,150
39,40,41,martinhood,Amber Contreras,amber.contreras@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,No-Show,2015-07-06,150
40,41,42,helen44,John Myers,john.myers@example.com,Portugal,2,0,2,Standard Room,2015-07-06,2015-07-13,Bed & Breakfast,Canceled,2015-06-17,150
41,42,43,aaronjackson,Mark Allen,mark.allen@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-27,150
43,44,45,zhodges,Connor Brown,connor.brown@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-27,150
45,46,47,amy35,Emily Coleman,emily.coleman@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-17,150
46,47,48,matthewlarsen,Carrie Rice,carrie.rice@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-17,150
47,48,49,aaron69,Sharon Watkins,sharon.watkins@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-16,150
48,49,50,sanderstammy,Natalie Barnett,natalie.barnett@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-29,150
49,50,51,potterkaren,David Gray,david.gray@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-06-27,150
50,51,52,steelenicole,Randy Peterson,randy.peterson@example.com,Portugal,2,0,2,Suite,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-07-07,350
51,52,53,jacqueline24,Brenda Pearson,brenda.pearson@example.com,Portugal,2,0,2,Suite,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-07-07,350
52,53,54,vegavictoria,Joseph Wagner,joseph.wagner@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Canceled,2015-07-07,150
53,54,55,gabrielfloyd,Shannon Delgado,shannon.delgado@example.com,Portugal,2,0,2,Standard Room,2015-07-07,2015-07-14,Bed & Breakfast,Check-Out,2015-07-17,150
57,58,59,brandon92,Michael Gonzales,michael.gonzales@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Check-Out,2015-07-10,150
58,59,60,syoung,William Gray,william.gray@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Canceled,2015-04-05,150
59,60,61,danielle84,Mary Patterson,mary.patterson@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Check-Out,2015-07-13,150
60,61,62,hannahflores,Frank Weaver,frank.weaver@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Canceled,2015-06-29,150
61,62,63,timothymata,Michael Taylor,michael.taylor@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Check-Out,2015-07-13,150
62,63,64,dberry,Ann Carlson,ann.carlson@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Canceled,2015-06-25,150
63,64,65,fchen,Richard Jones,richard.jones@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,Bed & Breakfast,Canceled,2015-05-14,150
64,65,66,robertwilkins,Yolanda Graves,yolanda.graves@example.com,Portugal,2,0,2,Standard Room,2015-07-08,2015-07-15,No Meal,Canceled,2015-05-07,100
66,67,68,justinmckenzie,Tara Montgomery,tara.montgomery@example.com,Portugal,2,0,2,Standard Room,2015-07-09,2015-07-16,Bed & Breakfast,Canceled,2015-06-27,150
